datetime,event
2023-01-01 20:35:23,entrada
2023-01-01 20:30:05,entrada
2023-01-01 20:01:19,entrada
2023-01-01 21:48:04,entrada
2023-01-01 21:59:43,entrada
2023-01-01 21:49:13,entrada
2023-01-01 21:52:55,entrada
2023-01-01 21:10:08,entrada
2023-01-01 21:33:11,entrada
2023-01-01 21:34:34,entrada
2023-01-01 21:00:39,entrada
2023-01-01 21:21:59,entrada
2023-01-01 21:28:07,entrada
2023-01-01 21:10:40,entrada
2023-01-01 21:36:13,entrada
2023-01-01 21:59:29,entrada
2023-01-01 21:34:20,entrada
2023-01-01 21:36:04,entrada
2023-01-01 21:18:58,entrada
2023-01-01 21:13:25,entrada
2023-01-01 21:03:24,entrada
2023-01-01 21:44:41,entrada
2023-01-01 21:24:17,entrada
2023-01-01 21:39:07,entrada
2023-01-01 21:38:39,entrada
2023-01-01 21:13:31,entrada
2023-01-01 21:50:37,entrada
2023-01-02 10:14:28,entrada
2023-01-02 10:07:04,entrada
2023-01-02 10:28:46,entrada
2023-01-02 10:03:11,entrada
2023-01-02 10:44:01,entrada
2023-01-02 10:26:30,entrada
2023-01-02 10:50:50,entrada
2023-01-02 10:35:35,entrada
2023-01-02 10:25:42,entrada
2023-01-02 10:26:04,entrada
2023-01-02 10:19:10,entrada
2023-01-02 10:09:39,entrada
2023-01-02 10:37:05,entrada
2023-01-02 10:07:22,entrada
2023-01-02 10:46:25,entrada
2023-01-02 10:45:42,entrada
2023-01-02 10:11:25,entrada
2023-01-02 10:12:39,entrada
2023-01-02 10:17:24,entrada
2023-01-02 10:32:46,entrada
2023-01-02 10:39:59,entrada
2023-01-02 10:42:11,entrada
2023-01-02 10:43:35,entrada
2023-01-02 10:47:03,entrada
2023-01-02 11:58:50,entrada
2023-01-02 11:53:23,entrada
2023-01-02 11:24:06,entrada
2023-01-02 11:51:05,entrada
2023-01-02 11:52:23,entrada
2023-01-02 11:32:48,entrada
2023-01-02 11:28:42,entrada
2023-01-02 11:21:25,entrada
2023-01-02 11:27:49,entrada
2023-01-02 11:20:48,entrada
2023-01-02 11:06:16,entrada
2023-01-02 11:19:40,entrada
2023-01-02 11:48:19,entrada
2023-01-02 11:53:21,entrada
2023-01-02 11:27:39,entrada
2023-01-02 11:48:06,entrada
2023-01-02 11:00:31,entrada
2023-01-02 11:12:29,entrada
2023-01-02 11:22:50,entrada
2023-01-02 11:58:55,entrada
2023-01-02 11:18:31,entrada
2023-01-02 11:29:28,entrada
2023-01-02 11:48:44,entrada
2023-01-02 11:28:29,entrada
2023-01-02 11:15:39,entrada
2023-01-02 11:18:17,entrada
2023-01-02 12:36:53,entrada
2023-01-02 12:20:13,entrada
2023-01-02 12:30:54,entrada
2023-01-02 12:47:17,entrada
2023-01-02 12:06:09,entrada
2023-01-02 12:06:32,entrada
2023-01-02 12:22:20,entrada
2023-01-02 12:18:47,entrada
2023-01-02 12:18:35,entrada
2023-01-02 12:28:59,entrada
2023-01-02 12:17:01,entrada
2023-01-02 12:00:46,entrada
2023-01-02 12:04:19,entrada
2023-01-02 12:10:41,entrada
2023-01-02 12:01:02,entrada
2023-01-02 12:22:54,entrada
2023-01-02 12:11:19,entrada
2023-01-02 12:04:36,entrada
2023-01-02 12:37:29,entrada
2023-01-02 12:08:33,entrada
2023-01-02 12:52:43,entrada
2023-01-02 12:34:51,entrada
2023-01-02 12:57:21,entrada
2023-01-02 12:43:23,entrada
2023-01-02 12:16:09,entrada
2023-01-02 12:29:55,entrada
2023-01-02 12:58:45,entrada
2023-01-02 12:22:31,entrada
2023-01-02 12:16:49,entrada
2023-01-02 12:50:16,entrada
2023-01-02 13:52:35,entrada
2023-01-02 13:50:25,entrada
2023-01-02 13:28:20,entrada
2023-01-02 13:10:39,entrada
2023-01-02 13:10:35,entrada
2023-01-02 13:48:58,entrada
2023-01-02 13:38:39,entrada
2023-01-02 13:34:53,entrada
2023-01-02 13:33:54,entrada
2023-01-02 13:46:23,entrada
2023-01-02 13:53:21,entrada
2023-01-02 13:04:55,entrada
2023-01-02 13:32:57,entrada
2023-01-02 13:35:46,entrada
2023-01-02 13:19:18,entrada
2023-01-02 13:34:51,entrada
2023-01-02 13:42:16,entrada
2023-01-02 13:58:44,entrada
2023-01-02 13:42:33,entrada
2023-01-02 13:08:25,entrada
2023-01-02 13:01:52,entrada
2023-01-02 13:08:08,entrada
2023-01-02 13:39:16,entrada
2023-01-02 13:00:24,entrada
2023-01-02 13:42:39,entrada
2023-01-02 13:41:24,entrada
2023-01-02 13:38:34,entrada
2023-01-02 13:02:49,entrada
2023-01-02 13:36:43,entrada
2023-01-02 13:43:50,entrada
2023-01-02 13:29:37,entrada
2023-01-02 13:33:11,entrada
2023-01-02 13:18:36,entrada
2023-01-02 13:43:58,entrada
2023-01-02 13:58:48,entrada
2023-01-02 13:16:09,entrada
2023-01-02 13:56:54,entrada
2023-01-02 14:15:44,entrada
2023-01-02 14:41:43,entrada
2023-01-02 14:01:54,entrada
2023-01-02 14:34:41,entrada
2023-01-02 14:33:29,entrada
2023-01-02 14:58:54,entrada
2023-01-02 14:12:12,entrada
2023-01-02 14:17:31,entrada
2023-01-02 14:31:34,entrada
2023-01-02 14:58:38,entrada
2023-01-02 14:45:51,entrada
2023-01-02 14:28:48,entrada
2023-01-02 14:28:52,entrada
2023-01-02 14:43:56,entrada
2023-01-02 14:15:55,entrada
2023-01-02 14:43:46,entrada
2023-01-02 14:56:09,entrada
2023-01-02 14:29:24,entrada
2023-01-02 14:38:19,entrada
2023-01-02 14:04:00,entrada
2023-01-02 14:29:48,entrada
2023-01-02 14:02:44,entrada
2023-01-02 15:53:46,entrada
2023-01-02 15:22:48,entrada
2023-01-02 15:08:34,entrada
2023-01-02 15:19:57,entrada
2023-01-02 15:48:58,entrada
2023-01-02 15:41:34,entrada
2023-01-02 15:49:17,entrada
2023-01-02 15:16:23,entrada
2023-01-02 15:02:31,entrada
2023-01-02 15:34:37,entrada
2023-01-02 15:12:55,entrada
2023-01-02 15:46:24,entrada
2023-01-02 15:08:03,entrada
2023-01-02 15:13:36,entrada
2023-01-02 15:33:10,entrada
2023-01-02 15:40:55,entrada
2023-01-02 15:02:58,entrada
2023-01-02 15:27:28,entrada
2023-01-02 15:08:02,entrada
2023-01-02 15:24:33,entrada
2023-01-02 15:11:41,entrada
2023-01-02 15:08:14,entrada
2023-01-02 15:39:24,entrada
2023-01-02 15:04:10,entrada
2023-01-02 15:58:33,entrada
2023-01-02 15:23:59,entrada
2023-01-02 15:14:37,entrada
2023-01-02 15:07:58,entrada
2023-01-02 15:04:47,entrada
2023-01-02 15:25:17,entrada
2023-01-02 16:31:12,entrada
2023-01-02 16:45:26,entrada
2023-01-02 16:48:40,entrada
2023-01-02 16:16:39,entrada
2023-01-02 16:30:33,entrada
2023-01-02 16:59:23,entrada
2023-01-02 16:44:34,entrada
2023-01-02 16:47:05,entrada
2023-01-02 16:18:29,entrada
2023-01-02 16:06:09,entrada
2023-01-02 16:40:31,entrada
2023-01-02 16:33:27,entrada
2023-01-02 16:59:14,entrada
2023-01-02 16:29:36,entrada
2023-01-02 16:28:21,entrada
2023-01-02 16:03:19,entrada
2023-01-02 16:31:35,entrada
2023-01-02 16:49:03,entrada
2023-01-02 16:26:16,entrada
2023-01-02 16:11:21,entrada
2023-01-02 16:16:09,entrada
2023-01-02 16:53:00,entrada
2023-01-02 16:21:25,entrada
2023-01-02 16:55:58,entrada
2023-01-02 16:17:49,entrada
2023-01-02 17:34:48,entrada
2023-01-02 17:24:23,entrada
2023-01-02 17:11:17,entrada
2023-01-02 17:14:43,entrada
2023-01-02 17:15:26,entrada
2023-01-02 17:07:59,entrada
2023-01-02 17:45:24,entrada
2023-01-02 17:16:28,entrada
2023-01-02 17:52:07,entrada
2023-01-02 17:14:26,entrada
2023-01-02 17:45:49,entrada
2023-01-02 17:51:06,entrada
2023-01-02 17:02:28,entrada
2023-01-02 17:43:52,entrada
2023-01-02 17:23:59,entrada
2023-01-02 17:57:02,entrada
2023-01-02 17:19:45,entrada
2023-01-02 17:14:24,entrada
2023-01-02 17:29:13,entrada
2023-01-02 17:06:16,entrada
2023-01-02 17:43:19,entrada
2023-01-02 17:35:08,entrada
2023-01-02 17:37:47,entrada
2023-01-02 17:56:59,entrada
2023-01-02 17:21:53,entrada
2023-01-02 17:52:52,entrada
2023-01-02 17:01:23,entrada
2023-01-02 17:07:10,entrada
2023-01-02 18:10:02,entrada
2023-01-02 18:58:05,entrada
2023-01-02 18:08:05,entrada
2023-01-02 18:08:38,entrada
2023-01-02 18:30:31,entrada
2023-01-02 18:40:49,entrada
2023-01-02 18:11:07,entrada
2023-01-02 18:07:49,entrada
2023-01-02 18:27:19,entrada
2023-01-02 18:46:58,entrada
2023-01-02 18:06:10,entrada
2023-01-02 18:19:15,entrada
2023-01-02 18:03:05,entrada
2023-01-02 18:57:21,entrada
2023-01-02 18:25:02,entrada
2023-01-02 18:40:59,entrada
2023-01-02 18:41:13,entrada
2023-01-02 18:10:17,entrada
2023-01-02 18:53:11,entrada
2023-01-02 19:03:27,entrada
2023-01-02 19:43:19,entrada
2023-01-02 19:59:23,entrada
2023-01-02 19:49:48,entrada
2023-01-02 19:50:31,entrada
2023-01-02 19:40:35,entrada
2023-01-02 19:57:52,entrada
2023-01-02 19:33:35,entrada
2023-01-02 19:01:14,entrada
2023-01-02 19:33:35,entrada
2023-01-02 19:05:38,entrada
2023-01-02 19:41:50,entrada
2023-01-02 19:50:57,entrada
2023-01-02 19:53:11,entrada
2023-01-02 19:02:44,entrada
2023-01-02 19:17:39,entrada
2023-01-02 19:20:14,entrada
2023-01-02 19:32:34,entrada
2023-01-02 19:25:07,entrada
2023-01-02 19:35:47,entrada
2023-01-02 19:29:22,entrada
2023-01-02 19:41:43,entrada
2023-01-02 19:13:13,entrada
2023-01-02 19:01:54,entrada
2023-01-02 19:36:04,entrada
2023-01-02 19:37:44,entrada
2023-01-02 19:40:53,entrada
2023-01-02 19:59:46,entrada
2023-01-02 19:13:55,entrada
2023-01-02 20:58:04,entrada
2023-01-02 20:32:48,entrada
2023-01-02 20:50:13,entrada
2023-01-02 20:11:41,entrada
2023-01-02 20:19:52,entrada
2023-01-02 20:49:23,entrada
2023-01-02 20:58:42,entrada
2023-01-02 20:33:24,entrada
2023-01-02 20:49:28,entrada
2023-01-02 20:56:38,entrada
2023-01-02 20:30:55,entrada
2023-01-02 20:46:42,entrada
2023-01-02 20:49:22,entrada
2023-01-02 20:43:37,entrada
2023-01-02 20:19:22,entrada
2023-01-02 20:44:51,entrada
2023-01-02 20:15:49,entrada
2023-01-02 20:41:59,entrada
2023-01-02 20:54:07,entrada
2023-01-02 20:49:20,entrada
2023-01-02 20:00:54,entrada
2023-01-02 21:40:10,entrada
2023-01-02 21:03:33,entrada
2023-01-02 21:37:45,entrada
2023-01-02 21:03:37,entrada
2023-01-02 21:18:05,entrada
2023-01-02 21:33:17,entrada
2023-01-02 21:12:40,entrada
2023-01-02 21:22:18,entrada
2023-01-02 21:44:10,entrada
2023-01-02 21:00:23,entrada
2023-01-02 21:53:06,entrada
2023-01-02 21:24:20,entrada
2023-01-02 21:14:00,entrada
2023-01-02 21:11:57,entrada
2023-01-02 21:06:14,entrada
2023-01-02 21:20:18,entrada
2023-01-02 21:59:28,entrada
2023-01-02 21:24:32,entrada
2023-01-02 21:48:31,entrada
2023-01-02 21:48:34,entrada
2023-01-02 21:43:37,entrada
2023-01-02 21:25:10,entrada
2023-01-02 21:34:07,entrada
2023-01-02 21:45:13,entrada
2023-01-02 21:09:01,entrada
2023-01-02 21:45:08,entrada
2023-01-02 21:02:20,entrada
2023-01-02 21:25:07,entrada
2023-01-02 21:47:01,entrada
2023-01-03 10:55:48,entrada
2023-01-03 10:41:41,entrada
2023-01-03 10:55:35,entrada
2023-01-03 10:19:03,entrada
2023-01-03 10:53:06,entrada
2023-01-03 10:53:00,entrada
2023-01-03 10:43:55,entrada
2023-01-03 10:44:41,entrada
2023-01-03 10:46:58,entrada
2023-01-03 10:12:54,entrada
2023-01-03 10:21:53,entrada
2023-01-03 10:20:21,entrada
2023-01-03 10:27:08,entrada
2023-01-03 10:25:08,entrada
2023-01-03 10:14:09,entrada
2023-01-03 10:23:57,entrada
2023-01-03 10:56:41,entrada
2023-01-03 10:07:23,entrada
2023-01-03 10:15:48,entrada
2023-01-03 10:25:26,entrada
2023-01-03 10:36:03,entrada
2023-01-03 10:49:23,entrada
2023-01-03 10:18:35,entrada
2023-01-03 10:59:38,entrada
2023-01-03 10:09:24,entrada
2023-01-03 10:17:18,entrada
2023-01-03 10:35:09,entrada
2023-01-03 10:32:54,entrada
2023-01-03 10:49:04,entrada
2023-01-03 10:46:48,entrada
2023-01-03 11:57:02,entrada
2023-01-03 11:21:05,entrada
2023-01-03 11:01:22,entrada
2023-01-03 11:43:01,entrada
2023-01-03 11:37:16,entrada
2023-01-03 11:34:33,entrada
2023-01-03 11:22:29,entrada
2023-01-03 11:51:07,entrada
2023-01-03 11:21:43,entrada
2023-01-03 11:57:35,entrada
2023-01-03 11:04:12,entrada
2023-01-03 11:28:30,entrada
2023-01-03 11:46:56,entrada
2023-01-03 11:54:15,entrada
2023-01-03 11:41:29,entrada
2023-01-03 11:56:54,entrada
2023-01-03 11:15:11,entrada
2023-01-03 11:16:15,entrada
2023-01-03 11:11:07,entrada
2023-01-03 11:19:02,entrada
2023-01-03 11:15:29,entrada
2023-01-03 11:44:22,entrada
2023-01-03 11:27:50,entrada
2023-01-03 11:39:53,entrada
2023-01-03 11:04:19,entrada
2023-01-03 11:39:55,entrada
2023-01-03 11:43:00,entrada
2023-01-03 12:20:34,entrada
2023-01-03 12:01:26,entrada
2023-01-03 12:01:34,entrada
2023-01-03 12:17:13,entrada
2023-01-03 12:19:17,entrada
2023-01-03 12:09:24,entrada
2023-01-03 12:01:24,entrada
2023-01-03 12:53:32,entrada
2023-01-03 12:35:30,entrada
2023-01-03 12:13:00,entrada
2023-01-03 12:45:15,entrada
2023-01-03 12:53:45,entrada
2023-01-03 12:51:02,entrada
2023-01-03 12:34:40,entrada
2023-01-03 12:05:24,entrada
2023-01-03 12:12:52,entrada
2023-01-03 12:33:07,entrada
2023-01-03 12:20:33,entrada
2023-01-03 12:03:24,entrada
2023-01-03 12:14:03,entrada
2023-01-03 12:44:59,entrada
2023-01-03 12:11:31,entrada
2023-01-03 13:35:59,entrada
2023-01-03 13:37:38,entrada
2023-01-03 13:49:36,entrada
2023-01-03 13:51:34,entrada
2023-01-03 13:06:26,entrada
2023-01-03 13:27:21,entrada
2023-01-03 13:13:06,entrada
2023-01-03 13:36:21,entrada
2023-01-03 13:04:54,entrada
2023-01-03 13:01:26,entrada
2023-01-03 13:20:53,entrada
2023-01-03 13:37:14,entrada
2023-01-03 13:20:09,entrada
2023-01-03 13:22:57,entrada
2023-01-03 13:55:38,entrada
2023-01-03 13:04:00,entrada
2023-01-03 13:12:20,entrada
2023-01-03 13:25:49,entrada
2023-01-03 13:44:20,entrada
2023-01-03 13:52:17,entrada
2023-01-03 14:39:20,entrada
2023-01-03 14:27:10,entrada
2023-01-03 14:54:33,entrada
2023-01-03 14:07:58,entrada
2023-01-03 14:21:07,entrada
2023-01-03 14:48:14,entrada
2023-01-03 14:16:59,entrada
2023-01-03 14:22:23,entrada
2023-01-03 14:44:18,entrada
2023-01-03 14:04:31,entrada
2023-01-03 14:43:00,entrada
2023-01-03 14:22:36,entrada
2023-01-03 14:07:12,entrada
2023-01-03 14:07:56,entrada
2023-01-03 14:22:42,entrada
2023-01-03 14:00:44,entrada
2023-01-03 14:50:23,entrada
2023-01-03 14:34:23,entrada
2023-01-03 14:16:04,entrada
2023-01-03 14:19:20,entrada
2023-01-03 14:39:57,entrada
2023-01-03 14:30:45,entrada
2023-01-03 14:35:10,entrada
2023-01-03 14:51:14,entrada
2023-01-03 14:18:06,entrada
2023-01-03 14:50:27,entrada
2023-01-03 14:50:42,entrada
2023-01-03 14:57:04,entrada
2023-01-03 14:04:29,entrada
2023-01-03 14:53:31,entrada
2023-01-03 14:07:09,entrada
2023-01-03 14:37:46,entrada
2023-01-03 14:31:47,entrada
2023-01-03 14:27:16,entrada
2023-01-03 15:39:45,entrada
2023-01-03 15:06:22,entrada
2023-01-03 15:43:31,entrada
2023-01-03 15:10:21,entrada
2023-01-03 15:21:42,entrada
2023-01-03 15:24:21,entrada
2023-01-03 15:27:28,entrada
2023-01-03 15:12:17,entrada
2023-01-03 15:01:28,entrada
2023-01-03 15:20:14,entrada
2023-01-03 15:51:26,entrada
2023-01-03 15:49:30,entrada
2023-01-03 15:14:50,entrada
2023-01-03 15:22:23,entrada
2023-01-03 15:43:12,entrada
2023-01-03 15:21:42,entrada
2023-01-03 15:36:32,entrada
2023-01-03 15:55:02,entrada
2023-01-03 15:53:18,entrada
2023-01-03 15:22:28,entrada
2023-01-03 15:29:38,entrada
2023-01-03 15:43:46,entrada
2023-01-03 15:24:36,entrada
2023-01-03 15:46:07,entrada
2023-01-03 16:20:53,entrada
2023-01-03 16:39:38,entrada
2023-01-03 16:20:09,entrada
2023-01-03 16:37:45,entrada
2023-01-03 16:03:59,entrada
2023-01-03 16:56:44,entrada
2023-01-03 16:19:16,entrada
2023-01-03 16:54:06,entrada
2023-01-03 16:03:28,entrada
2023-01-03 16:13:02,entrada
2023-01-03 16:23:36,entrada
2023-01-03 16:15:57,entrada
2023-01-03 16:54:51,entrada
2023-01-03 16:03:55,entrada
2023-01-03 16:23:33,entrada
2023-01-03 16:29:17,entrada
2023-01-03 16:18:30,entrada
2023-01-03 16:59:59,entrada
2023-01-03 16:18:48,entrada
2023-01-03 16:45:18,entrada
2023-01-03 16:21:23,entrada
2023-01-03 16:44:11,entrada
2023-01-03 16:29:57,entrada
2023-01-03 16:37:52,entrada
2023-01-03 16:30:35,entrada
2023-01-03 16:18:47,entrada
2023-01-03 17:04:35,entrada
2023-01-03 17:05:25,entrada
2023-01-03 17:03:38,entrada
2023-01-03 17:38:49,entrada
2023-01-03 17:34:00,entrada
2023-01-03 17:23:56,entrada
2023-01-03 17:35:05,entrada
2023-01-03 17:40:53,entrada
